label,value
"RTX3090",1758
"RTX3080",1625
"RTX3070",1345
"RTX3060Ti",1133
"RTX3060",880
"RTX2060SUPER",837
"GTX1660SUPER",621
"GTX1650SUPER",478
"GT1030",75
"RX6900XT",1708
